node	DC	CC	EC
54785	0.025	0.209	0
51715	0.066	0.345	0.019
79879	0.008	0.258	0.001
5639	0.016	0.149	0
2063	0.016	0.26	0.001
8724	0.025	0.26	0.002
2580	0.295	0.436	0.198
84501	0.025	0.273	0.001
3092	0.213	0.399	0.188
54808	0.008	0.179	0
85021	0.213	0.399	0.188
4644	0.098	0.362	0.027
4645	0.033	0.276	0.001
7718	0.008	0.214	0
8745	0.008	0.226	0
4650	0.057	0.343	0.026
23086	0.008	0.27	0.001
8751	0.016	0.205	0
1072	0.041	0.328	0.009
51762	0.074	0.352	0.019
9779	0.025	0.26	0.002
23603	0.025	0.234	0
120892	0.041	0.342	0.022
92737	0.016	0.29	0.007
143425	0.213	0.399	0.188
29763	0.213	0.399	0.188
57412	0.008	0.174	0
3575	0.221	0.401	0.188
1609	0.016	0.306	0.008
56907	0.016	0.272	0.001
8784	0.016	0.288	0.007
9811	0.025	0.218	0
54874	0.221	0.4	0.189
84062	0.074	0.346	0.029
1638	0.008	0.211	0
23143	0.008	0.179	0
1130	0.008	0.27	0.001
157807	0.008	0.26	0.002
23163	0.025	0.321	0.015
9341	0.213	0.399	0.188
9853	0.008	0.199	0
26751	0.008	0.252	0.001
57479	0.025	0.174	0
58506	0.016	0.149	0
7306	0.016	0.268	0.001
58513	0.213	0.399	0.188
9873	0.016	0.29	0.014
728215	0.016	0.228	0
118426	0.025	0.209	0
53917	0.066	0.345	0.019
259232	0.025	0.293	0.007
161	0.238	0.405	0.191
58533	0.041	0.261	0.002
2214	0.057	0.339	0.027
5286	0.254	0.425	0.189
254122	0.016	0.26	0.001
134829	0.008	0.26	0.002
27314	0.066	0.345	0.019
10420	0.016	0.248	0
84660	0.025	0.307	0.008
6840	0.025	0.23	0
3257	0.016	0.26	0.001
9404	0.025	0.253	0
10947	0.025	0.29	0.015
7163	0.074	0.344	0.037
6869	0.23	0.405	0.189
29924	0.213	0.399	0.188
5862	0.074	0.353	0.019
744	0.016	0.209	0
57578	0.025	0.228	0.001
5869	0.287	0.433	0.188
164592	0.008	0.235	0
5873	0.115	0.369	0.021
5874	0.09	0.364	0.02
5878	0.336	0.464	0.202
119032	0.033	0.21	0
1785	0.254	0.415	0.194
1804	0.016	0.227	0.001
2319	0.033	0.274	0.001
273	0.23	0.404	0.189
84251	0.23	0.401	0.189
9501	0.016	0.271	0.002
196383	0.008	0.266	0.001
7456	0.057	0.319	0.033
8995	0.008	0.224	0
112936	0.033	0.261	0.002
6453	0.23	0.405	0.19
27131	0.115	0.349	0.037
10552	0.287	0.449	0.196
6457	0.221	0.401	0.189
30011	0.213	0.399	0.188
51517	0.049	0.318	0.026
22848	0.213	0.399	0.188
10053	0.107	0.35	0.051
150350	0.008	0.304	0.008
256356	0.008	0.228	0
8038	0.008	0.205	0
7016	0.016	0.248	0
23400	0.008	0.255	0.001
10092	0.27	0.428	0.196
10095	0.098	0.348	0.036
282991	0.041	0.262	0.001
22895	0.016	0.271	0.002
2934	0.049	0.331	0.008
26999	0.057	0.319	0.027
10109	0.27	0.428	0.196
26509	0.008	0.294	0.007
11151	0.016	0.263	0.001
285590	0.033	0.254	0
55719	0.008	0.199	0
94120	0.016	0.271	0.001
9644	0.049	0.257	0
9135	0.025	0.321	0.015
91056	0.025	0.29	0.015
152503	0.066	0.336	0.029
50618	0.221	0.4	0.189
22980	0.008	0.215	0
4046	0.008	0.249	0
10211	0.025	0.226	0
4074	0.221	0.403	0.19
285175	0.041	0.294	0.007
9211	0.025	0.291	0.007
7164	0.074	0.344	0.037
