node	DC	CC	EC
9732	0.074	0.327	0.086
10248	0.025	0.259	0.019
11273	0.012	0.262	0.001
14	0.012	0.268	0.011
10767	0.08	0.347	0.066
23567	0.018	0.159	0
10257	0.006	0.273	0.008
51218	0.018	0.193	0
26135	0.043	0.32	0.063
23	0.025	0.325	0.018
79897	0.11	0.34	0.139
23066	0.006	0.219	0
129563	0.031	0.29	0.008
23587	0.018	0.218	0
23076	0.061	0.306	0.056
549	0.006	0.131	0
115752	0.025	0.286	0.009
6185	0.067	0.317	0.078
4141	0.061	0.279	0.008
55342	0.025	0.188	0
51258	0.074	0.316	0.041
6204	0.221	0.409	0.218
6205	0.264	0.427	0.24
11329	0.012	0.226	0
60488	0.074	0.284	0.032
6729	0.092	0.329	0.101
201292	0.006	0.22	0.001
6222	0.264	0.426	0.235
1615	0.037	0.233	0.001
6224	0.252	0.416	0.23
6231	0.239	0.414	0.223
56919	0.074	0.303	0.07
27230	0.006	0.248	0.004
54881	0.11	0.352	0.116
91749	0.012	0.248	0.005
57446	0.006	0.185	0
104	0.012	0.159	0
3692	0.049	0.327	0.042
58477	0.061	0.317	0.078
56945	0.074	0.281	0.032
54899	0.012	0.255	0.006
30836	0.074	0.339	0.089
7284	0.117	0.339	0.086
1656	0.055	0.289	0.006
4733	0.025	0.281	0.009
4736	0.202	0.403	0.164
54913	0.11	0.34	0.139
9349	0.209	0.406	0.172
4234	0.025	0.275	0.013
7832	0.012	0.231	0
9887	0.067	0.342	0.077
57505	0.037	0.232	0.001
26275	0.031	0.284	0.015
23203	0.006	0.206	0
677	0.025	0.286	0.009
678	0.006	0.223	0
1201	0.006	0.167	0
90806	0.012	0.231	0
2230	0.012	0.18	0
6838	0.067	0.306	0.059
23223	0.11	0.321	0.107
84154	0.141	0.327	0.115
29883	0.055	0.276	0.004
57532	0.031	0.329	0.018
51389	0.006	0.219	0
4285	0.018	0.26	0.003
57019	0.037	0.235	0.001
54464	0.11	0.308	0.026
9924	0.018	0.24	0.002
81605	0.025	0.26	0.001
56006	0.067	0.342	0.077
27340	0.135	0.374	0.161
8402	0.006	0.253	0.004
5339	0.08	0.337	0.088
157922	0.006	0.235	0.003
746	0.006	0.241	0.003
6894	0.025	0.287	0.012
4848	0.043	0.287	0.006
128240	0.006	0.225	0
26354	0.117	0.345	0.114
54512	0.129	0.365	0.097
55027	0.012	0.294	0.014
80114	0.006	0.225	0
9980	0.006	0.199	0
23293	0.08	0.349	0.08
57602	0.006	0.233	0.003
1797	0.018	0.279	0.006
60678	0.043	0.313	0.066
60680	0.006	0.164	0
54540	0.006	0.221	0.001
55052	0.129	0.34	0.093
80153	0.018	0.275	0.005
25885	0.092	0.354	0.091
134430	0.172	0.395	0.191
28957	0.067	0.281	0.032
7453	0.037	0.232	0.001
57128	0.031	0.195	0
7978	0.012	0.15	0
28973	0.074	0.281	0.032
51504	0.037	0.321	0.025
11056	0.166	0.371	0.181
28985	0.055	0.328	0.064
28987	0.129	0.347	0.162
57661	0.006	0.204	0
138046	0.006	0.166	0
51520	0.061	0.282	0.005
22849	0.012	0.231	0
5442	0.012	0.176	0
4931	0.074	0.325	0.062
126789	0.006	0.225	0
23369	0.012	0.221	0
260434	0.006	0.138	0
55127	0.166	0.393	0.189
285527	0.012	0.185	0
57176	0.037	0.233	0.001
90459	0.025	0.324	0.021
9054	0.031	0.216	0
11102	0.117	0.341	0.139
55135	0.012	0.278	0.006
223075	0.006	0.224	0.001
55140	0.031	0.277	0.007
6499	0.037	0.323	0.019
23395	0.037	0.231	0.001
26995	0.012	0.29	0.01
10102	0.08	0.312	0.042
22913	0.018	0.198	0
51081	0.227	0.376	0.174
26519	0.018	0.277	0.016
11165	0.006	0.294	0.01
27042	0.166	0.382	0.184
10658	0.025	0.242	0.001
10150	0.012	0.195	0
26024	0.012	0.213	0.001
10667	0.043	0.234	0.001
51118	0.16	0.38	0.182
84916	0.172	0.394	0.189
91574	0.031	0.308	0.022
80311	0.006	0.179	0
23480	0.086	0.329	0.089
63929	0.006	0.206	0
27067	0.006	0.137	0
1984	0.037	0.318	0.048
22984	0.221	0.404	0.224
64969	0.141	0.346	0.115
170954	0.006	0.22	0.001
26574	0.117	0.322	0.112
55759	0.172	0.362	0.137
94160	0.006	0.273	0.008
5073	0.025	0.283	0.006
64978	0.074	0.281	0.032
8661	0.067	0.333	0.085
8662	0.086	0.354	0.097
8663	0.074	0.348	0.084
256471	0.012	0.2	0
64981	0.067	0.281	0.032
9692	0.037	0.267	0.02
135644	0.012	0.16	0
23012	0.018	0.226	0
83943	0.012	0.248	0.004
222696	0.012	0.19	0
3048	0.006	0.258	0.003
26610	0.018	0.221	0
55802	0.098	0.355	0.083
125950	0.006	0.216	0
