node	DC	CC	EC
6017	0.013	0.197	0.027
3202	0.064	0.152	0
83715	0.077	0.159	0.003
221955	0.013	0.158	0
25861	0.038	0.179	0.008
3203	0.038	0.133	0
3204	0.038	0.133	0
54020	0.013	0.136	0
64131	0.064	0.199	0.219
23175	0.09	0.231	0.008
64900	0.077	0.202	0.004
53904	0.038	0.139	0.001
3217	0.064	0.152	0
64787	0.013	0.153	0.001
3988	0.013	0.197	0.004
3990	0.064	0.245	0.03
55959	0.013	0.178	0.043
285848	0.013	0.151	0
91289	0.013	0.197	0.004
51099	0.038	0.177	0.001
117532	0.013	0.17	0.006
55454	0.038	0.149	0.001
56606	0.026	0.124	0
10400	0.038	0.165	0.001
56994	0.077	0.195	0.003
50854	0.051	0.136	0
79143	0.051	0.177	0.002
1192	0.026	0.136	0
6954	0.013	0.146	0
11309	0.013	0.1	0
55604	0.064	0.14	0.001
140469	0.026	0.138	0
9653	0.09	0.216	0.295
10554	0.103	0.208	0.004
5947	0.064	0.245	0.186
10044	0.038	0.136	0
8509	0.09	0.234	0.273
57406	0.038	0.203	0.002
10559	0.013	0.171	0.001
7227	0.013	0.178	0.04
64699	0.013	0.153	0.001
56895	0.103	0.205	0.004
4035	0.038	0.197	0.178
65217	0.051	0.205	0.042
9672	0.141	0.244	0.412
126792	0.051	0.198	0.21
9162	0.013	0.171	0.001
55501	0.051	0.172	0.008
57678	0.077	0.181	0.002
8527	0.013	0.164	0
60495	0.038	0.197	0.178
11343	0.038	0.211	0.005
7629	0.026	0.17	0.001
50515	0.026	0.171	0.007
337876	0.038	0.13	0
9429	0.026	0.11	0
2131	0.09	0.216	0.276
2262	0.141	0.244	0.412
85463	0.013	0.121	0
2137	0.026	0.179	0.071
196051	0.128	0.205	0.005
81490	0.026	0.148	0
81615	0.013	0.115	0
10590	0.013	0.123	0
51168	0.064	0.18	0.008
5089	0.051	0.176	0.001
10082	0.141	0.244	0.412
5090	0.051	0.176	0.001
9956	0.051	0.198	0.221
92521	0.038	0.136	0
10090	0.051	0.203	0.042
747	0.038	0.188	0.001
7917	0.077	0.157	0
55790	0.038	0.149	0.001
4212	0.026	0.151	0
29940	0.038	0.203	0.006
253558	0.09	0.205	0.004
122618	0.051	0.173	0.001
8572	0.038	0.139	0.001
