node	DC	CC	EC
11270	0.006	0.158	0
54796	0.006	0.335	0.006
51729	0.172	0.468	0.16
54805	0.006	0.265	0
8725	0.012	0.358	0.013
79893	0.006	0.246	0
23064	0.03	0.381	0.009
3609	0.036	0.389	0.031
55833	0.006	0.246	0
83481	0.006	0.347	0.006
10783	0.041	0.298	0.01
55840	0.071	0.391	0.03
23078	0.012	0.188	0
23080	0.006	0.295	0.002
171568	0.053	0.367	0.019
245812	0.006	0.259	0
11321	0.012	0.291	0.002
285755	0.178	0.469	0.16
8260	0.018	0.296	0.001
90187	0.006	0.274	0.001
6732	0.03	0.343	0.019
51277	0.006	0.32	0.005
4686	0.391	0.567	0.212
23636	0.142	0.414	0.058
115286	0.012	0.348	0.006
2646	0.03	0.296	0.009
84991	0.172	0.468	0.16
114789	0.006	0.347	0.006
7270	0.03	0.361	0.01
54887	0.006	0.321	0.005
23144	0.006	0.293	0.002
91754	0.036	0.298	0.01
9326	0.012	0.326	0.006
30834	0.053	0.377	0.022
7803	0.024	0.36	0.011
53371	0.142	0.414	0.058
23168	0.077	0.393	0.031
1665	0.213	0.479	0.171
51340	0.207	0.476	0.169
143	0.012	0.348	0.006
259217	0.047	0.372	0.016
10898	0.237	0.501	0.175
80018	0.012	0.23	0
55954	0.089	0.413	0.075
661	0.036	0.363	0.016
81554	0.006	0.23	0
51362	0.249	0.503	0.182
57508	0.101	0.406	0.046
4774	0.018	0.357	0.008
1196	0.006	0.33	0.005
2733	0.059	0.385	0.026
6829	0.154	0.416	0.049
23214	0.018	0.272	0
10421	0.172	0.468	0.16
1207	0.018	0.341	0.008
23225	0.142	0.414	0.058
79035	0.112	0.409	0.051
54973	0.101	0.406	0.046
9410	0.201	0.475	0.17
27332	0.018	0.357	0.016
4809	0.213	0.479	0.172
202	0.006	0.347	0.006
4299	0.024	0.298	0.003
4300	0.083	0.394	0.03
23243	0.018	0.253	0.001
56521	0.006	0.321	0.005
6875	0.036	0.361	0.017
6879	0.041	0.362	0.017
6882	0.124	0.41	0.049
4837	0.012	0.267	0
55015	0.059	0.381	0.049
64744	0.006	0.347	0.006
9961	0.012	0.348	0.006
4331	0.112	0.4	0.034
3308	0.047	0.311	0.01
116461	0.018	0.337	0.006
3310	0.041	0.311	0.01
283373	0.006	0.251	0
10992	0.195	0.473	0.168
7919	0.118	0.433	0.081
79612	0.018	0.23	0
3836	0.018	0.298	0.001
3837	0.077	0.417	0.023
7936	0.071	0.391	0.03
8449	0.178	0.469	0.161
3842	0.036	0.315	0.003
22794	0.213	0.491	0.161
6924	0.071	0.391	0.03
116496	0.006	0.347	0.006
284434	0.047	0.358	0.041
57619	0.006	0.347	0.006
6427	0.243	0.501	0.18
11036	0.018	0.357	0.008
6430	0.231	0.499	0.176
22826	0.189	0.472	0.161
112939	0.012	0.387	0.012
22828	0.006	0.277	0
727851	0.012	0.295	0.001
7469	0.071	0.391	0.03
79664	0.107	0.411	0.046
79665	0.006	0.347	0.006
8498	0.012	0.297	0.002
5937	0.018	0.341	0.012
57654	0.03	0.363	0.017
23350	0.178	0.469	0.161
5432	0.391	0.543	0.201
5434	0.396	0.549	0.201
8508	0.006	0.288	0.002
4927	0.136	0.413	0.058
121665	0.006	0.347	0.006
202052	0.012	0.322	0.005
64328	0.018	0.306	0.002
5452	0.101	0.406	0.046
51535	0.006	0.259	0
55631	0.012	0.348	0.006
10067	0.006	0.321	0.005
8532	0.006	0.23	0
283989	0.018	0.337	0.006
22870	0.018	0.334	0.006
23379	0.101	0.406	0.046
8021	0.154	0.416	0.058
79706	0.047	0.371	0.044
64859	0.101	0.406	0.046
55132	0.012	0.326	0.005
8028	0.018	0.297	0.003
80746	0.024	0.339	0.006
57194	0.006	0.324	0.005
8559	0.036	0.365	0.033
8563	0.095	0.403	0.053
9590	0.012	0.267	0
1410	0.006	0.238	0
91526	0.018	0.253	0.001
94086	0.012	0.322	0.005
51593	0.266	0.511	0.185
55692	0.065	0.383	0.052
84879	0.006	0.347	0.006
79760	0.053	0.384	0.023
154007	0.071	0.409	0.063
2968	0.13	0.403	0.036
1434	0.036	0.367	0.007
23451	0.249	0.494	0.175
55197	0.101	0.406	0.046
26015	0.018	0.355	0.008
2975	0.024	0.358	0.013
29101	0.118	0.413	0.051
23469	0.006	0.265	0
51645	0.189	0.472	0.165
85437	0.071	0.409	0.063
5569	0.006	0.214	0
57794	0.189	0.472	0.162
127428	0.018	0.359	0.014
284119	0.041	0.363	0.01
10713	0.178	0.468	0.156
79833	0.053	0.384	0.023
988	0.331	0.53	0.176
10204	0.041	0.314	0.009
6621	0.13	0.417	0.053
9696	0.006	0.295	0.002
6625	0.207	0.475	0.167
83938	0.071	0.382	0.062
9701	0.024	0.335	0.006
6631	0.195	0.472	0.16
6636	0.284	0.512	0.19
54765	0.006	0.319	0.005
6638	0.219	0.479	0.171
23534	0.024	0.342	0.007
8178	0.166	0.418	0.054
23543	0.024	0.383	0.025
55291	0.018	0.334	0.006
79871	0.118	0.409	0.047
