node	DC	CC	EC
79874	0.007	0.291	0
26133	0.034	0.313	0.001
7704	0.423	0.556	0.135
222235	0.43	0.558	0.135
23077	0.007	0.272	0
252969	0.007	0.361	0.002
92714	0.013	0.349	0.002
56893	0.027	0.409	0.007
23113	0.013	0.41	0.003
3658	0.02	0.42	0.007
26190	0.436	0.56	0.135
9810	0.013	0.406	0.005
7763	0.007	0.405	0.002
9817	0.443	0.562	0.135
115290	0.436	0.56	0.135
55905	0.389	0.528	0.127
4194	0.02	0.408	0.007
23142	0.228	0.485	0.062
154214	0.376	0.525	0.127
9320	0.383	0.527	0.127
84079	0.013	0.407	0.002
8816	0.074	0.348	0.007
192111	0.013	0.364	0.002
200312	0.007	0.36	0.002
4741	0.013	0.361	0.002
55432	0.04	0.42	0.005
9354	0.403	0.542	0.128
200845	0.43	0.56	0.135
54926	0.376	0.525	0.127
7311	0.617	0.677	0.136
26259	0.43	0.558	0.135
23190	0.013	0.356	0.002
7318	0.376	0.525	0.127
118424	0.383	0.527	0.127
7320	0.389	0.528	0.128
7322	0.423	0.548	0.131
7325	0.376	0.525	0.127
26270	0.436	0.56	0.135
26273	0.007	0.369	0.002
7332	0.047	0.413	0.014
10920	0.242	0.487	0.059
140461	0.436	0.56	0.135
57520	0.376	0.525	0.127
8883	0.154	0.406	0.039
10425	0.383	0.527	0.128
57020	0.02	0.33	0.002
4798	0.04	0.42	0.006
6339	0.013	0.407	0.005
51397	0.242	0.489	0.062
9927	0.027	0.413	0.005
10956	0.034	0.423	0.003
23252	0.034	0.414	0.002
162517	0.027	0.375	0.005
114907	0.436	0.56	0.135
8924	0.376	0.525	0.127
8925	0.376	0.525	0.127
84708	0.376	0.525	0.127
200933	0.027	0.372	0.007
729830	0.007	0.188	0
9958	0.02	0.41	0.007
55527	0.181	0.415	0.056
51433	0.376	0.525	0.127
254187	0.007	0.216	0
10477	0.389	0.528	0.128
65264	0.376	0.525	0.127
55031	0.04	0.373	0.014
54520	0.02	0.33	0.002
283899	0.034	0.332	0.003
6400	0.04	0.431	0.003
8453	0.423	0.556	0.135
8454	0.463	0.578	0.136
25862	0.013	0.409	0.002
160518	0.013	0.294	0
23304	0.383	0.527	0.127
6921	0.43	0.558	0.135
57097	0.013	0.347	0.002
129804	0.007	0.193	0
60685	0.007	0.405	0.002
54545	0.007	0.299	0
115992	0.013	0.347	0.002
28952	0.242	0.489	0.062
57630	0.376	0.525	0.127
255275	0.007	0.329	0.001
1326	0.02	0.42	0.007
11059	0.396	0.53	0.128
11060	0.027	0.41	0.005
89910	0.376	0.525	0.127
2873	0.235	0.485	0.059
80700	0.034	0.305	0
84285	0.007	0.226	0
57148	0.007	0.36	0.002
80705	0.013	0.274	0
57154	0.383	0.527	0.128
6468	0.436	0.56	0.135
64326	0.081	0.437	0.01
57674	0.376	0.525	0.127
51024	0.02	0.351	0.002
56658	0.376	0.525	0.127
8533	0.248	0.489	0.059
142678	0.376	0.525	0.127
283991	0.007	0.238	0
54617	0.034	0.332	0.003
55643	0.013	0.33	0.002
11101	0.007	0.346	0.002
868	0.383	0.527	0.128
6500	0.477	0.582	0.136
10600	0.007	0.405	0.002
93550	0.027	0.409	0.002
55666	0.054	0.426	0.005
51061	0.013	0.239	0
10613	0.04	0.422	0.003
81790	0.013	0.3	0
128387	0.013	0.292	0
390	0.007	0.232	0
157574	0.007	0.369	0.002
63891	0.376	0.525	0.127
91544	0.027	0.302	0
84376	0.013	0.232	0
64410	0.423	0.556	0.135
9118	0.013	0.361	0.002
6048	0.04	0.422	0.007
6050	0.007	0.273	0
51619	0.389	0.528	0.128
79269	0.074	0.348	0.007
4008	0.43	0.558	0.135
90025	0.389	0.528	0.128
92591	0.43	0.558	0.135
143279	0.383	0.527	0.128
54708	0.027	0.351	0.002
155061	0.007	0.347	0.002
161725	0.013	0.408	0.002
55741	0.034	0.312	0
55743	0.007	0.405	0.002
51136	0.007	0.405	0.002
152006	0.013	0.356	0.005
337867	0.007	0.297	0
165324	0.027	0.304	0
8139	0.436	0.56	0.135
5071	0.396	0.53	0.128
10193	0.376	0.525	0.127
51676	0.43	0.558	0.135
51167	0.013	0.347	0.002
164832	0.02	0.408	0.003
84961	0.43	0.558	0.135
26091	0.383	0.527	0.128
26094	0.074	0.348	0.007
9202	0.013	0.294	0
160760	0.007	0.346	0.002
23033	0.02	0.348	0.004
54778	0.376	0.525	0.127
