node	DC	CC	EC
23566	0.388	0.513	0.174
23057	0.033	0.231	0
5138	0.033	0.367	0.016
5141	0.05	0.382	0.016
5142	0.05	0.382	0.016
5143	0.041	0.377	0.016
5151	0.041	0.368	0.016
5152	0.025	0.355	0.015
7204	0.107	0.387	0.024
5167	0.091	0.297	0.002
9265	0.033	0.281	0.001
27185	0.025	0.279	0.001
9267	0.025	0.279	0.001
53	0.008	0.23	0
133686	0.025	0.23	0
9784	0.025	0.343	0.005
9290	0.281	0.469	0.164
60490	0.017	0.231	0
2641	0.248	0.442	0.053
79443	0.008	0.321	0.005
7253	0.165	0.413	0.035
90203	0.008	0.256	0
7775	0.017	0.189	0
6753	0.314	0.476	0.165
5733	0.281	0.469	0.164
5734	0.14	0.407	0.035
27241	0.033	0.326	0.005
107	0.446	0.54	0.177
108	0.455	0.543	0.177
109	0.446	0.54	0.177
5739	0.14	0.407	0.035
23150	0.025	0.221	0
6768	0.008	0.245	0
23660	0.008	0.159	0
5746	0.14	0.407	0.035
114815	0.008	0.339	0.005
132	0.074	0.364	0.008
84100	0.033	0.326	0.005
134	0.289	0.488	0.164
123016	0.033	0.326	0.005
2696	0.14	0.407	0.035
729230	0.289	0.471	0.165
157	0.025	0.332	0.01
56477	0.281	0.469	0.164
51374	0.008	0.256	0
3761	0.017	0.323	0.01
122042	0.14	0.407	0.035
3773	0.017	0.323	0.01
4295	0.116	0.385	0.025
6344	0.14	0.407	0.035
1230	0.281	0.469	0.164
1232	0.281	0.469	0.164
2768	0.074	0.379	0.018
3792	0.008	0.28	0.001
1235	0.033	0.33	0.014
5331	0.107	0.388	0.028
2773	0.339	0.49	0.167
6357	0.298	0.476	0.165
727	0.281	0.469	0.164
1241	0.116	0.385	0.025
6364	0.306	0.478	0.166
9445	0.008	0.339	0.005
6374	0.298	0.476	0.165
3820	0.025	0.251	0.001
29933	0.116	0.385	0.025
2304	0.008	0.293	0.001
151306	0.14	0.407	0.035
2829	0.14	0.394	0.039
1815	0.281	0.469	0.164
2841	0.281	0.469	0.164
3355	0.281	0.469	0.164
797	0.14	0.407	0.035
8477	0.116	0.385	0.025
2848	0.14	0.407	0.035
3363	0.14	0.407	0.035
8997	0.099	0.381	0.023
83756	0.281	0.469	0.164
2861	0.281	0.469	0.164
2357	0.281	0.469	0.164
2869	0.116	0.383	0.033
2359	0.281	0.469	0.164
22844	0.008	0.312	0.004
9034	0.017	0.328	0.005
8526	0.008	0.28	0.001
117583	0.008	0.312	0.004
129880	0.033	0.326	0.005
351	0.405	0.511	0.174
9568	0.298	0.473	0.164
1889	0.017	0.289	0.002
22891	0.008	0.219	0
6000	0.025	0.332	0.005
1393	0.008	0.3	0.001
1394	0.174	0.428	0.04
6002	0.017	0.332	0.009
1908	0.132	0.388	0.025
1910	0.149	0.403	0.031
4987	0.289	0.473	0.164
7038	0.025	0.295	0.001
6528	0.017	0.294	0.001
53637	0.298	0.482	0.165
51083	0.281	0.469	0.164
55188	0.008	0.33	0.005
55191	0.033	0.231	0
9628	0.017	0.332	0.005
10653	0.017	0.324	0.005
84899	0.017	0.182	0
10663	0.289	0.471	0.164
8622	0.025	0.366	0.006
10672	0.066	0.378	0.014
23475	0.025	0.23	0
29113	0.008	0.228	0
29121	0.008	0.201	0
5066	0.008	0.276	0.001
59345	0.504	0.558	0.188
131034	0.017	0.182	0
91107	0.008	0.25	0
26086	0.281	0.451	0.149
27115	0.041	0.377	0.016
11245	0.14	0.407	0.035
2550	0.298	0.473	0.164
3577	0.289	0.471	0.164
3579	0.298	0.473	0.165
