"name"	"id"	"disease"
"CDCP2"	200008	"pa"
"CDH1"	999	"ulc"
"CDH10"	1008	"sle"
"CDH11"	1009	"identical"
"CDH13"	1012	"ra"
"CDH15"	1013	"ms"
"CDH2"	1000	"crd"
"CDH3"	1001	"ulc"
"CDH6"	1004	"sle"
"CDHR4"	389118	"shared"
"CDHR5"	53841	"shared"
"CDIPT"	10423	"ms"
"CDIPT-AS1"	440356	"ms"
"CDK10"	8558	"vit"
"CDK13"	8621	"identical"
"CDK14"	5218	"identical"
"CDK17"	5128	"crd"
"CDK19"	23097	"sle"
"CDK2AP1"	8099	"ms"
"CDK2AP2"	10263	"ulc"
"CDK3"	1018	"pso"
"CDK5RAP2"	55755	"ra"
"CDK6"	1021	"ra"
"CDKAL1"	54901	"shared"
"CDKN3"	1033	"grd"
"CDSN"	1041	"shared"
"CDYL"	9425	"shared"
"CDYL2"	124359	"identical"
"CEACAM19"	56971	"ms"
"CEACAM21"	90273	"crd"
"CEACAM22P"	388550	"ms"
"CELF1"	10658	"pso"
"CELF5"	60680	"pso"
"CEMIP"	57214	"pso"
"CENPM"	79019	"shared"
"CENPO"	79172	"shared"
"CENPP"	401541	"sle"
"CENPU"	79682	"sle"
"CENPW"	387103	"t1d"
"CEP112"	201134	"shared"
"CEP126"	57562	"ssc"
"CEP128"	145508	"shared"
"CEP170B"	283638	"ms"
"CEP350"	9857	"shared"
"CEP41"	95681	"ced"
"CEP57"	9702	"ms"
"CEP72"	55722	"ulc"
"CEP76"	79959	"crd"
"CEP83"	51134	"ms"
"CEP89"	84902	"ee"
"CERKL"	375298	"shared"
"CETN4P"	729338	"pbc"
"CFAP221"	200373	"shared"
"CFAP44"	55779	"ms"
"CFAP44-AS1"	100874029	"ms"
"CFAP46"	54777	"ra"
"CFAP53"	220136	"vit"
"CFAP54"	144535	"sle"
"CFAP61"	26074	"shared"
"CFDP1"	10428	"shared"
"CFL1"	1072	"crd"
"CFL1P1"	142913	"sle"
"CGNL1"	84952	"shared"
"CHCHD2"	51142	"ms"
"CHCHD3"	54927	"pso"
"CHCHD6"	84303	"pa"
"CHD4"	1108	"pa"
"CHD6"	84181	"pso"
"CHD7"	55636	"shared"
"CHD9"	80205	"identical"
"CHFR"	55743	"sle"
"CHKB"	1120	"ms"
"CHMP1A"	5119	"vit"
"CHMP3"	51652	"shared"
"CHN2"	1124	"ulc"
"CHP1"	11261	"ulc"
"CHPT1"	56994	"sle"
"CHRNA7"	1139	"crd"
"CHRNB1"	1140	"t1d"
"CHRNB2"	1141	"sle"
"CHRNB4"	1143	"pso"
"CHST11"	50515	"shared"
"CHST12"	55501	"ms"
"CHST6"	4166	"crd"
"CHSY3"	337876	"pso"
"CIAPIN1"	57019	"shared"
"CIB1"	10519	"shared"
"CICP8"	442676	"ms"
"CIITA"	4261	"shared"
"CIPC"	85457	"crd"
"CISD1"	55847	"crd"
"CISD2"	493856	"shared"
"CIT"	11113	"crd"
"CKAP2L"	150468	"pa"
"CKAP4"	10970	"pso"
"CKAP5"	9793	"grd"
"CLASP1"	23332	"shared"
"CLCN3P1"	100419056	"pso"
"CLCN6"	1185	"sle"
"CLDN11"	5010	"pa"
"CLDN23"	137075	"shared"
"CLDN4"	1364	"pso"
"CLDN7"	1366	"ms"
"CLEC12B"	387837	"t1d"
"CLEC16A"	23274	"shared"
"CLEC18B"	497190	"sjs"
"CLEC2B"	9976	"shared"
"CLEC2D"	29121	"shared"
"CLEC4D"	338339	"crd"
"CLECL1"	160365	"shared"
"CLIC1"	1192	"shared"
"CLIC5"	53405	"ms"
"CLIC6"	54102	"pso"
"CLIP1"	6249	"shared"
"CLK2"	1196	"pso"
"CLN3"	1201	"shared"
"CLNK"	116449	"pso"
"CLNS1A"	1207	"sle"
"CLPB"	81570	"pso"
"CLPP"	8192	"pso"
"CLSTN2"	64084	"ms"
"CLUAP1"	23059	"shared"
"CLVS1"	157807	"pbc"
"CLVS2"	134829	"sle"
"CMAHP"	8418	"sle"
"CMC1"	152100	"ms"
"CMTM4"	146223	"ssc"
"CNNM2"	54805	"ms"
"CNOT2"	4848	"ms"
"CNOT7"	29883	"sle"
"CNPY2"	10330	"pso"
"CNPY4"	245812	"ssc"
"CNRIP1"	25927	"shared"
"CNST"	163882	"sjs"
"CNTF"	1270	"identical"
"CNTFR"	1271	"shared"
"CNTLN"	54875	"ulc"
"CNTN1"	1272	"shared"
"CNTN3"	5067	"shared"
"CNTN4"	152330	"shared"
"CNTN6"	27255	"ced"
"CNTNAP1"	8506	"crd"
"CNTRL"	11064	"ra"
"CNTROB"	116840	"t1d"
"COG4"	25839	"sjs"
"COG6"	57511	"shared"
"COL11A2"	1302	"shared"
"COL14A1"	7373	"sle"
"COL19A1"	1310	"pso"
"COL21A1"	81578	"ms"
"COL23A1"	91522	"shared"
"COL25A1"	84570	"ra"
"COL27A1"	85301	"shared"
"COL28A1"	340267	"identical"
"COL4A2"	1284	"pso"
"COL4A3BP"	10087	"pso"
"COL4A5"	1287	"pso"
"COL8A1"	1295	"ulc"
"COLCA1"	399948	"shared"
"COLCA2"	120376	"shared"
"COLEC10"	10584	"t1d"
"COMMD10"	51397	"shared"
"COPA"	1314	"shared"
"COPG2"	26958	"ulc"
"COPS3"	8533	"pso"
"COPS8"	10920	"sle"
"COQ10A"	93058	"pso"
"COQ10B"	80219	"ulc"
"COQ5"	84274	"ra"
"COQ9"	57017	"shared"
"CORO1A"	11151	"ms"
"CORO1C"	23603	"sle"
"CORO2B"	10391	"sle"
"COX10"	1352	"ssc"
"COX10-AS1"	100874058	"shared"
"COX6CP2"	170504	"vit"
"CPE"	1363	"identical"
"CPEB3"	22849	"ssc"
"CPEB4"	80315	"shared"
"CPED1"	79974	"t1d"
"CPLX1"	10815	"ssc"
"CPLX3"	594855	"shared"
"CPM"	1368	"ms"
"CPN1"	1369	"pso"
"CPNE4"	131034	"shared"
"CPNE5"	57699	"sjs"
"CPNE7"	27132	"vit"
"CPNE8"	144402	"identical"
"CPQ"	10404	"pso"
"CPSF4"	10898	"ssc"
"CPT1A"	1374	"pso"
"CPT1B"	1375	"ms"
"CPT1C"	126129	"vit"
"CPTP"	80772	"identical"
"CPVL"	54504	"shared"
"CPXM1"	56265	"ulc"
"CPZ"	8532	"sle"
"CREBBP"	1387	"shared"
"CREM"	1390	"shared"
"CRHBP"	1393	"pso"
"CRHR1"	1394	"shared"
"CRIM1"	51232	"crd"
"CRISP2"	7180	"pso"
"CRLF1"	9244	"sle"
"CRNKL1"	51340	"pso"
"CROCC"	9696	"shared"
"CROT"	54677	"shared"
"CRTAC1"	55118	"pso"
"CRTAP"	10491	"ms"
"CRTC3"	64784	"shared"
"CRYAB"	1410	"ced"
"CRYL1"	51084	"pso"
"CSAD"	51380	"t1d"
"CSDC2"	27254	"shared"
"CSE1L"	1434	"sle"
"CSF1"	1435	"shared"
"CSF1R"	1436	"sle"
"CSF2RB"	1439	"ms"
"CSGALNACT1"	55790	"pso"
"CSGALNACT2"	55454	"ms"
"CSK"	1445	"shared"
"CSNK1A1"	1452	"pso"
"CSNK2A2"	1459	"sle"
"CSNK2B"	1460	"shared"
"CSPG4P12"	728121	"pso"
"CSRNP1"	64651	"pso"
"CSRNP3"	80034	"sle"
"CTAGE5"	4253	"ms"
"CTDSPL"	10217	"identical"
"CTHRC1"	115908	"crd"
"CTIF"	9811	"shared"
"CTLA4"	1493	"shared"
"CTNNA2"	1496	"identical"
"CTNND2"	1501	"pso"
"CTSB"	1508	"shared"
"CTSE"	1510	"pso"
"CTSH"	1512	"shared"
"CTSO"	1519	"ms"
"CTSW"	1521	"shared"
"CTTNBP2"	83992	"crd"
"CUBN"	8029	"ssc"
"CUEDC1"	404093	"ms"
"CUL1"	8454	"crd"
"CUL2"	8453	"shared"
"CUL9"	23113	"pso"
"CWF19L1"	55280	"pso"
"CXADR"	1525	"identical"
"CXCL5"	6374	"ulc"
"CXCR1"	3577	"ulc"
"CXCR2"	3579	"ulc"
"CXCR6"	10663	"shared"
"CXorf38"	159013	"ms"
"CYB5R4"	51167	"ms"
"CYBA"	1535	"identical"
"CYFIP2"	26999	"identical"
"CYLD"	1540	"crd"
"CYP1A1"	1543	"shared"
"CYP21A1P"	1590	"shared"
"CYP21A2"	1589	"shared"
"CYP24A1"	1591	"ms"
"CYP27B1"	1594	"shared"
"CYP2D6"	1565	"ms"
"CYP2E1"	1571	"sle"
"CYP2U1"	113612	"shared"
"CYP39A1"	51302	"shared"
"CYP3A7"	1551	"ssc"
"CYP4F23P"	100422238	"pso"
"CYP4X1"	260293	"pso"
"CYP8B1"	1582	"sle"
"CYSTM1"	84418	"shared"
"CYTH1"	9267	"ulc"
"CYTH3"	9265	"ms"
"D2HGDH"	728294	"crd"
"DAAM1"	23002	"sle"
"DAB1"	1600	"ms"
"DAB2IP"	153090	"identical"
"DACH1"	1602	"pso"
"DACH2"	117154	"pso"
"DACT3-AS1"	100506068	"t1d"
"DAG1"	1605	"shared"
"DAGLA"	747	"crd"
"DAGLB"	221955	"shared"
"DAP"	1611	"shared"
"DARS"	1615	"shared"
"DARS-AS1"	101928243	"shared"
"DAZAP2"	9802	"pso"
"DBNDD1"	79007	"shared"
"DBNDD2"	55861	"pso"
"DCAF10"	79269	"pso"
"DCAF4"	26094	"sle"
"DCAF5"	8816	"t1d"
