node	DC	CC	EC
92675	0.005	0.203	0
51203	0.078	0.336	0.032
5125	0.005	0.249	0.001
10758	0.005	0.197	0
23047	0.11	0.364	0.094
9736	0.014	0.267	0.004
1033	0.055	0.311	0.027
23053	0.046	0.312	0.032
9232	0.119	0.362	0.059
7185	0.037	0.249	0.008
3091	0.059	0.335	0.04
23059	0.018	0.239	0.001
7187	0.087	0.323	0.04
54806	0.123	0.343	0.147
2584	0.005	0.233	0
83992	0.014	0.3	0.006
200728	0.023	0.269	0.022
79902	0.119	0.372	0.101
387103	0.037	0.305	0.023
200734	0.05	0.312	0.033
83999	0.018	0.251	0.001
10274	0.119	0.363	0.095
23072	0.05	0.313	0.032
122402	0.027	0.282	0.006
27175	0.073	0.324	0.097
23595	0.037	0.282	0.003
5682	0.187	0.413	0.085
5686	0.192	0.441	0.091
5687	0.183	0.412	0.084
133690	0.009	0.164	0
51259	0.119	0.342	0.146
8764	0.018	0.247	0.005
5695	0.183	0.412	0.084
55872	0.073	0.314	0.027
9793	0.215	0.407	0.219
5698	0.187	0.413	0.085
5699	0.183	0.412	0.084
64577	0.005	0.256	0.005
5702	0.192	0.415	0.085
2631	0.005	0.237	0
55366	0.014	0.203	0
2121	0.027	0.29	0.007
11339	0.064	0.314	0.033
642636	0.018	0.269	0.014
5709	0.192	0.414	0.085
5710	0.201	0.443	0.091
4175	0.073	0.341	0.025
5711	0.187	0.414	0.085
399947	0.009	0.213	0.001
9814	0.123	0.344	0.149
79959	0.119	0.341	0.149
23639	0.009	0.165	0
54361	0.046	0.278	0.004
54875	0.023	0.297	0.017
115294	0.009	0.226	0
92255	0.005	0.141	0
6240	0.037	0.307	0.007
23649	0.041	0.263	0.003
79971	0.014	0.225	0
145508	0.014	0.27	0.012
116840	0.009	0.253	0.001
6249	0.1	0.361	0.098
114799	0.018	0.269	0.014
54386	0.023	0.269	0.011
8312	0.1	0.363	0.05
4735	0.119	0.341	0.146
157313	0.018	0.302	0.008
8323	0.041	0.255	0.002
401541	0.105	0.362	0.094
7813	0.005	0.274	0.004
113802	0.014	0.221	0.001
64651	0.005	0.267	0.002
5116	0.142	0.355	0.159
352909	0.005	0.142	0
54930	0.119	0.341	0.149
144535	0.009	0.183	0
4763	0.05	0.312	0.033
79003	0.096	0.36	0.092
118429	0.005	0.249	0.001
7840	0.123	0.342	0.149
84133	0.032	0.253	0.001
8870	0.014	0.31	0.011
79019	0.132	0.371	0.102
2735	0.087	0.351	0.043
2737	0.096	0.363	0.047
200373	0.014	0.187	0
8887	0.009	0.245	0.002
54456	0.018	0.281	0.006
23224	0.023	0.269	0.011
8379	0.1	0.361	0.093
8891	0.005	0.194	0
701	0.205	0.424	0.136
9918	0.046	0.312	0.02
7871	0.014	0.3	0.006
29888	0.023	0.303	0.006
1730	0.005	0.232	0
1731	0.005	0.255	0.005
115908	0.009	0.217	0
259266	0.082	0.337	0.032
54986	0.009	0.269	0.002
126668	0.005	0.22	0
57551	0.096	0.36	0.092
23765	0.009	0.245	0.001
134359	0.005	0.202	0
25816	0.005	0.245	0.002
81624	0.018	0.301	0.01
144100	0.009	0.219	0
55012	0.014	0.321	0.016
1770	0.009	0.196	0
754	0.005	0.266	0.002
25843	0.023	0.303	0.006
3320	0.155	0.386	0.158
23288	0.009	0.225	0
5885	0.123	0.366	0.095
51460	0.005	0.293	0.003
57606	0.005	0.29	0.008
90381	0.009	0.255	0.001
112399	0.055	0.313	0.034
5905	0.1	0.361	0.093
6424	0.018	0.251	0.001
23322	0.137	0.363	0.152
8994	0.055	0.313	0.034
23331	0.005	0.279	0.006
23332	0.205	0.397	0.218
144165	0.055	0.325	0.032
7976	0.041	0.276	0.003
55081	0.032	0.277	0.006
79659	0.032	0.277	0.006
23345	0.023	0.269	0.011
7473	0.046	0.289	0.005
25909	0.096	0.36	0.092
85302	0.119	0.344	0.147
11064	0.128	0.345	0.151
130872	0.005	0.279	0.006
9020	0.078	0.321	0.039
23358	0.014	0.24	0.001
79682	0.132	0.371	0.102
79172	0.11	0.366	0.095
84807	0.005	0.241	0.001
8520	0.018	0.225	0
200008	0.009	0.24	0.001
143689	0.023	0.281	0.006
332	0.16	0.378	0.105
5966	0.055	0.316	0.033
80212	0.009	0.308	0.007
11094	0.009	0.288	0.008
56155	0.005	0.265	0.003
80227	0.018	0.309	0.01
56164	0.009	0.22	0
8549	0.014	0.203	0
10087	0.005	0.265	0.003
25963	0.005	0.175	0
8556	0.018	0.3	0.009
51053	0.073	0.338	0.037
11116	0.128	0.365	0.154
134510	0.023	0.309	0.016
2932	0.091	0.378	0.051
80762	0.005	0.239	0.001
57216	0.018	0.253	0.001
25989	0.014	0.268	0.005
59269	0.055	0.315	0.032
22919	0.21	0.4	0.218
5000	0.032	0.282	0.003
375686	0.009	0.272	0.004
7049	0.005	0.184	0
5515	0.201	0.426	0.137
727957	0.005	0.191	0
5527	0.174	0.421	0.131
84888	0.005	0.245	0.002
84902	0.123	0.345	0.147
340390	0.009	0.236	0
85417	0.023	0.288	0.005
51626	0.027	0.242	0.001
55722	0.119	0.341	0.149
1452	0.087	0.372	0.05
7083	0.023	0.303	0.008
55732	0.005	0.252	0.001
5558	0.032	0.261	0.002
9657	0.114	0.341	0.146
254394	0.037	0.26	0.003
57787	0.114	0.341	0.146
79801	0.027	0.304	0.012
11197	0.027	0.252	0.002
51134	0.119	0.344	0.147
80829	0.005	0.243	0.001
166336	0.005	0.202	0
95681	0.119	0.341	0.149
115650	0.073	0.32	0.039
79809	0.037	0.309	0.011
150468	0.014	0.255	0.003
27077	0.119	0.342	0.146
55238	0.005	0.255	0.006
22981	0.119	0.341	0.149
4040	0.068	0.331	0.017
4041	0.073	0.332	0.017
8650	0.059	0.324	0.037
51659	0.064	0.313	0.026
55755	0.128	0.349	0.151
4049	0.078	0.321	0.04
8658	0.059	0.323	0.035
7124	0.1	0.323	0.041
80342	0.018	0.309	0.007
4055	0.068	0.319	0.039
59352	0.014	0.203	0
23002	0.014	0.22	0
80351	0.059	0.323	0.035
993	0.078	0.349	0.042
994	0.009	0.269	0.002
135138	0.009	0.274	0.003
51684	0.1	0.365	0.047
9702	0.119	0.341	0.149
84455	0.009	0.225	0
10735	0.119	0.363	0.095
60401	0.005	0.199	0
79858	0.005	0.259	0.002
27123	0.018	0.251	0.001
54777	0.014	0.221	0
23036	0.005	0.22	0
8701	0.014	0.198	0
51199	0.046	0.337	0.034
