node	DC	CC	EC
5924	0.013	0.354	0.022
1837	0.006	0.242	0.001
55089	0.002	0.226	0
57144	0.04	0.358	0.029
169792	0.002	0.257	0
79680	0.002	0.28	0.005
3908	0.032	0.326	0.017
10052	0.004	0.264	0.001
91975	0.002	0.201	0
5962	0.008	0.326	0.006
221002	0.002	0.322	0.009
3918	0.036	0.354	0.028
112476	0.017	0.343	0.031
26469	0.006	0.321	0.014
128869	0.002	0.205	0
5998	0.008	0.271	0.006
163702	0.011	0.326	0.021
10105	0.008	0.314	0.008
6009	0.025	0.328	0.014
6014	0.008	0.282	0.005
51072	0.011	0.338	0.017
6016	0.013	0.291	0.007
10114	0.004	0.304	0.004
57217	0.006	0.246	0
3976	0.028	0.353	0.043
3977	0.019	0.335	0.029
10125	0.013	0.341	0.025
59277	0.006	0.284	0.003
3993	0.008	0.277	0.001
1946	0.053	0.372	0.042
1948	0.055	0.359	0.044
1949	0.055	0.359	0.044
3996	0.008	0.276	0.001
4000	0.051	0.357	0.113
1956	0.127	0.457	0.156
10154	0.015	0.265	0.003
147372	0.002	0.257	0.002
94134	0.004	0.323	0.007
81846	0.006	0.246	0
81858	0.013	0.326	0.006
6091	0.034	0.347	0.023
6092	0.025	0.294	0.011
79837	0.017	0.327	0.011
4067	0.098	0.427	0.119
10219	0.011	0.333	0.016
2045	0.021	0.342	0.022
2047	0.042	0.365	0.046
