node	DC	CC	EC
79872	0.009	0.201	0.001
8200	0.009	0.215	0.001
2070	0.017	0.302	0.02
100134934	0.003	0.251	0.004
51230	0.017	0.285	0.006
55333	0.003	0.211	0
389170	0.003	0.248	0.002
4149	0.041	0.363	0.048
2103	0.012	0.307	0.023
59	0.029	0.326	0.055
2117	0.006	0.28	0.014
122953	0.003	0.168	0
8269	0.006	0.246	0.001
8270	0.003	0.198	0
161882	0.038	0.337	0.066
2139	0.02	0.302	0.02
2140	0.02	0.304	0.02
92	0.02	0.268	0.009
8289	0.049	0.351	0.07
2145	0.038	0.305	0.046
2146	0.119	0.403	0.175
8295	0.041	0.338	0.038
4199	0.023	0.318	0.05
4205	0.023	0.331	0.051
6257	0.02	0.324	0.055
57459	0.052	0.335	0.08
51317	0.035	0.316	0.037
2175	0.038	0.302	0.026
2176	0.032	0.261	0.02
2178	0.032	0.261	0.02
2186	0.052	0.329	0.034
80012	0.067	0.341	0.104
51341	0.006	0.281	0.01
142	0.052	0.386	0.096
2189	0.032	0.261	0.02
57491	0.003	0.239	0.001
51347	0.003	0.27	0.006
57496	0.003	0.198	0
192670	0.067	0.351	0.124
57504	0.058	0.334	0.086
8356	0.023	0.333	0.024
8362	0.032	0.365	0.064
192683	0.003	0.188	0
6314	0.015	0.298	0.015
2222	0.02	0.312	0.032
2224	0.006	0.239	0.002
84148	0.047	0.342	0.041
10428	0.006	0.267	0.002
2237	0.038	0.306	0.04
57534	0.009	0.249	0.007
4284	0.006	0.175	0
57536	0.006	0.214	0
116931	0.02	0.256	0.024
196	0.006	0.241	0.001
84164	0.009	0.212	0
4292	0.044	0.293	0.039
51426	0.047	0.342	0.054
112869	0.032	0.333	0.034
8435	0.003	0.194	0
51455	0.026	0.275	0.017
10499	0.087	0.372	0.126
8463	0.012	0.161	0
10522	0.003	0.224	0
10524	0.134	0.404	0.158
57634	0.035	0.361	0.054
221496	0.003	0.222	0.001
28984	0.003	0.265	0.004
321	0.015	0.232	0.001
322	0.017	0.3	0.017
323	0.012	0.232	0.001
80198	0.081	0.32	0.061
333	0.009	0.231	0.001
80206	0.003	0.196	0
80205	0.049	0.325	0.064
4437	0.029	0.292	0.026
4438	0.015	0.274	0.014
343	0.003	0.13	0
4439	0.017	0.275	0.014
10589	0.006	0.266	0.008
6493	0.003	0.278	0.007
6497	0.012	0.298	0.024
8554	0.035	0.305	0.029
57708	0.003	0.227	0.001
51564	0.073	0.379	0.15
10629	0.035	0.309	0.038
55689	0.02	0.329	0.027
80270	0.003	0.193	0
22926	0.003	0.194	0
29079	0.041	0.33	0.075
147872	0.006	0.139	0
117154	0.006	0.248	0.001
22955	0.006	0.255	0.01
63925	0.003	0.265	0.005
27063	0.015	0.308	0.032
29115	0.006	0.222	0.001
65980	0.015	0.281	0.01
6594	0.026	0.327	0.028
6595	0.047	0.342	0.046
63941	0.006	0.188	0
57798	0.006	0.26	0.003
6597	0.078	0.374	0.087
8648	0.096	0.385	0.132
6599	0.055	0.35	0.061
6603	0.035	0.315	0.031
6605	0.047	0.34	0.054
55758	0.003	0.24	0.002
466	0.012	0.315	0.025
6613	0.07	0.357	0.092
472	0.131	0.37	0.123
84441	0.049	0.339	0.105
10714	0.044	0.342	0.056
27097	0.015	0.298	0.015
55777	0.012	0.254	0.003
63976	0.003	0.16	0
27120	0.006	0.139	0
84464	0.049	0.313	0.045
23030	0.023	0.325	0.037
221692	0.009	0.247	0.003
51720	0.038	0.317	0.053
55818	0.015	0.29	0.01
10763	0.009	0.244	0.001
23054	0.078	0.361	0.116
84498	0.035	0.328	0.073
10771	0.009	0.289	0.01
27154	0.017	0.34	0.031
375318	0.006	0.149	0
51742	0.009	0.253	0.002
545	0.064	0.317	0.056
51750	0.029	0.305	0.032
23081	0.006	0.254	0.002
113201	0.003	0.216	0.001
23090	0.006	0.234	0.002
23091	0.023	0.251	0.014
23093	0.006	0.272	0.006
4664	0.003	0.254	0.003
23097	0.041	0.33	0.075
55869	0.052	0.349	0.103
6720	0.02	0.319	0.027
2626	0.035	0.33	0.034
8771	0.006	0.234	0.001
580	0.096	0.335	0.102
4683	0.096	0.347	0.098
2649	0.009	0.305	0.013
10847	0.032	0.364	0.051
27242	0.015	0.308	0.032
8815	0.023	0.285	0.016
2672	0.003	0.267	0.002
23179	0.015	0.308	0.032
657	0.02	0.273	0.011
8850	0.145	0.411	0.206
659	0.02	0.273	0.011
23187	0.003	0.234	0.001
8854	0.006	0.239	0.002
90780	0.003	0.267	0.005
10919	0.044	0.329	0.043
10927	0.003	0.25	0.001
4783	0.009	0.255	0.005
10933	0.047	0.339	0.051
27327	0.067	0.351	0.124
121536	0.032	0.302	0.041
8932	0.02	0.278	0.013
23269	0.02	0.293	0.008
745	0.003	0.235	0.002
221937	0.009	0.254	0.003
283377	0.006	0.212	0
4853	0.041	0.328	0.07
84726	0.003	0.267	0.005
4854	0.041	0.328	0.071
4855	0.038	0.325	0.061
766	0.003	0.163	0
54014	0.009	0.28	0.006
4862	0.029	0.325	0.057
23294	0.003	0.198	0
6928	0.003	0.239	0.001
23314	0.003	0.234	0.001
6935	0.023	0.331	0.033
6938	0.015	0.317	0.032
23338	0.003	0.264	0.004
64324	0.009	0.242	0.002
441168	0.003	0.216	0.001
7003	0.009	0.191	0
861	0.073	0.359	0.109
7005	0.006	0.161	0
863	0.006	0.282	0.01
23389	0.041	0.33	0.08
7008	0.006	0.235	0.001
113510	0.006	0.243	0.005
23408	0.012	0.316	0.034
23411	0.087	0.397	0.14
23414	0.006	0.261	0.005
9100	0.012	0.257	0.004
64420	0.003	0.195	0
84901	0.009	0.278	0.004
11177	0.012	0.264	0.006
9141	0.006	0.289	0.007
56246	0.006	0.243	0.001
56252	0.003	0.259	0.003
11201	0.012	0.257	0.004
9169	0.003	0.204	0
23506	0.003	0.223	0.001
23512	0.093	0.369	0.149
5087	0.047	0.349	0.085
23522	0.009	0.297	0.013
11238	0.003	0.163	0
3054	0.049	0.325	0.029
9200	0.003	0.194	0
84976	0.003	0.229	0
7156	0.076	0.32	0.058
7158	0.093	0.377	0.101
171023	0.038	0.309	0.04
3090	0.009	0.297	0.015
9253	0.009	0.252	0.009
9274	0.032	0.287	0.019
60481	0.009	0.239	0.002
1108	0.076	0.374	0.108
3170	0.015	0.298	0.01
3172	0.023	0.314	0.02
3198	0.029	0.339	0.064
64641	0.006	0.19	0
5252	0.015	0.291	0.019
58508	0.067	0.356	0.119
29841	0.015	0.308	0.032
29843	0.012	0.279	0.013
9372	0.012	0.267	0.008
79007	0.003	0.224	0
7341	0.116	0.384	0.15
54454	0.009	0.281	0.005
29890	0.009	0.201	0.001
9425	0.012	0.293	0.017
9442	0.041	0.33	0.075
9443	0.038	0.328	0.074
7398	0.026	0.269	0.013
25833	0.003	0.246	0.001
7403	0.049	0.353	0.087
64754	0.009	0.297	0.012
54542	0.006	0.204	0
64784	0.006	0.24	0.001
7444	0.003	0.222	0.001
91419	0.015	0.276	0.014
7468	0.047	0.322	0.06
91442	0.032	0.276	0.019
116028	0.044	0.311	0.047
25930	0.009	0.265	0.005
79184	0.047	0.322	0.071
7507	0.058	0.354	0.072
5460	0.041	0.321	0.028
1374	0.029	0.319	0.053
7518	0.035	0.31	0.038
7520	0.073	0.335	0.079
286053	0.029	0.296	0.025
9577	0.047	0.322	0.071
25962	0.012	0.201	0.001
1387	0.183	0.433	0.259
1388	0.006	0.24	0.001
9611	0.14	0.39	0.195
9612	0.096	0.371	0.154
9619	0.006	0.253	0.004
284058	0.017	0.285	0.006
56731	0.003	0.249	0.002
5536	0.017	0.311	0.032
9647	0.006	0.175	0
26039	0.015	0.276	0.011
3516	0.052	0.34	0.105
54790	0.009	0.297	0.011
1543	0.032	0.314	0.032
7690	0.003	0.278	0.007
9739	0.055	0.359	0.077
1551	0.006	0.239	0.002
9749	0.003	0.246	0.003
3607	0.009	0.254	0.003
26147	0.017	0.292	0.021
9765	0.02	0.268	0.01
1582	0.006	0.24	0.001
1591	0.012	0.195	0
1594	0.009	0.196	0
159296	0.003	0.248	0.002
1602	0.015	0.297	0.012
134728	0.003	0.204	0
124491	0.003	0.211	0
79447	0.009	0.272	0.015
54880	0.009	0.28	0.014
54890	0.003	0.168	0
9839	0.012	0.291	0.01
56950	0.003	0.248	0.002
54904	0.006	0.26	0.003
9857	0.006	0.204	0
9862	0.041	0.33	0.075
3720	0.023	0.296	0.027
81550	0.006	0.243	0.003
54934	0.02	0.268	0.004
56983	0.009	0.252	0.009
161436	0.003	0.194	0
1717	0.015	0.24	0.002
7867	0.017	0.281	0.031
9931	0.003	0.229	0.001
116447	0.003	0.242	0.003
9966	0.003	0.19	0
55023	0.02	0.256	0.002
7923	0.006	0.24	0.002
5890	0.049	0.31	0.05
5892	0.02	0.279	0.024
5893	0.061	0.329	0.065
10014	0.078	0.364	0.141
83746	0.015	0.293	0.01
5927	0.017	0.302	0.018
10042	0.015	0.297	0.015
10046	0.049	0.339	0.105
124739	0.015	0.257	0.006
10055	0.02	0.284	0.015
89927	0.003	0.255	0.002
10062	0.032	0.335	0.062
55120	0.032	0.261	0.02
5978	0.035	0.307	0.061
5987	0.006	0.293	0.012
79722	0.003	0.177	0
1911	0.07	0.341	0.104
1912	0.07	0.341	0.104
55170	0.026	0.326	0.056
255877	0.003	0.254	0.005
26503	0.003	0.195	0
10123	0.006	0.201	0.001
55183	0.035	0.315	0.049
8085	0.076	0.364	0.119
3992	0.017	0.309	0.032
55193	0.035	0.298	0.026
3995	0.003	0.193	0
6046	0.009	0.308	0.018
51105	0.015	0.275	0.013
8099	0.006	0.253	0.004
55206	0.003	0.24	0.002
1959	0.032	0.34	0.064
8110	0.029	0.29	0.02
51144	0.012	0.24	0.002
79819	0.006	0.258	0.003
1998	0.003	0.264	0.005
79823	0.026	0.313	0.029
6095	0.026	0.328	0.04
6097	0.015	0.287	0.018
10217	0.009	0.277	0.01
55280	0.009	0.212	0
2033	0.201	0.436	0.282
57332	0.07	0.351	0.111
4087	0.061	0.353	0.077
4088	0.076	0.359	0.089
57337	0.012	0.281	0.013
