node	DC	CC	EC
8192	0.009	0.27	0.003
23046	0.079	0.327	0.049
81930	0.153	0.4	0.123
54795	0.014	0.23	0.001
23564	0.005	0.224	0
5133	0.047	0.335	0.043
26128	0.009	0.286	0.007
6672	0.14	0.368	0.111
23569	0.005	0.25	0.001
83988	0.042	0.33	0.012
8729	0.13	0.358	0.086
9755	0.005	0.222	0
2590	0.037	0.316	0.028
3105	0.228	0.429	0.14
3106	0.205	0.417	0.134
3107	0.195	0.415	0.133
55843	0.005	0.186	0
3109	0.126	0.384	0.116
23586	0.06	0.293	0.011
3112	0.126	0.384	0.116
3113	0.274	0.463	0.192
10282	0.177	0.39	0.075
3115	0.27	0.462	0.192
65065	0.005	0.177	0
3118	0.265	0.461	0.191
3119	0.265	0.461	0.191
23087	0.102	0.363	0.094
9777	0.014	0.27	0.001
3122	0.288	0.466	0.194
3123	0.288	0.466	0.194
7726	0.102	0.363	0.094
148022	0.019	0.283	0.007
3127	0.27	0.462	0.192
10296	0.019	0.223	0
23095	0.074	0.326	0.049
6710	0.13	0.366	0.067
6711	0.126	0.366	0.067
252983	0.009	0.277	0.001
3133	0.209	0.417	0.135
3134	0.186	0.413	0.126
3135	0.186	0.413	0.126
3654	0.051	0.305	0.008
11336	0.023	0.258	0.001
3146	0.056	0.363	0.028
23114	0.047	0.293	0.011
3661	0.195	0.385	0.116
3662	0.153	0.375	0.114
26191	0.056	0.332	0.046
3663	0.158	0.381	0.115
3664	0.153	0.375	0.114
3665	0.177	0.385	0.115
90196	0.042	0.288	0.008
10333	0.033	0.289	0.005
340061	0.019	0.281	0.004
53347	0.005	0.257	0.002
9830	0.102	0.363	0.094
2157	0.074	0.341	0.019
8302	0.028	0.31	0.016
10861	0.005	0.183	0
112755	0.023	0.287	0.005
205428	0.023	0.328	0.012
6773	0.079	0.333	0.049
119	0.009	0.308	0.009
50807	0.028	0.288	0.009
128637	0.009	0.283	0.004
51332	0.126	0.366	0.067
64135	0.065	0.294	0.011
84619	0.005	0.224	0
150159	0.005	0.205	0
5777	0.093	0.355	0.054
5270	0.005	0.255	0.001
115352	0.005	0.25	0.001
3737	0.019	0.229	0.001
5786	0.014	0.269	0.006
6810	0.07	0.327	0.008
4253	0.005	0.295	0.003
27296	0.005	0.224	0
81570	0.009	0.27	0.003
4261	0.13	0.367	0.11
57511	0.14	0.366	0.066
7850	0.009	0.194	0
57003	0.005	0.234	0
177	0.014	0.325	0.009
64689	0.149	0.378	0.071
91828	0.009	0.224	0
25782	0.042	0.317	0.028
6326	0.051	0.295	0.011
9402	0.06	0.338	0.052
6843	0.042	0.318	0.005
114876	0.102	0.371	0.098
6334	0.06	0.296	0.011
9919	0.051	0.335	0.013
4289	0.019	0.243	0
54467	0.005	0.186	0
6340	0.028	0.257	0.001
81603	0.102	0.363	0.094
89796	0.009	0.229	0.001
51399	0.065	0.337	0.017
54476	0.019	0.229	0.001
10960	0.074	0.346	0.019
4306	0.037	0.329	0.027
2259	0.005	0.228	0
3797	0.153	0.4	0.123
3798	0.149	0.399	0.122
3799	0.153	0.4	0.123
25820	0.014	0.281	0.005
8417	0.042	0.3	0.006
23265	0.037	0.288	0.005
3811	0.042	0.311	0.027
5861	0.219	0.392	0.107
55014	0.079	0.35	0.017
55016	0.023	0.323	0.024
23274	0.005	0.199	0
6890	0.042	0.326	0.027
6891	0.042	0.326	0.027
3821	0.047	0.312	0.027
3822	0.056	0.312	0.029
25839	0.135	0.366	0.066
83696	0.065	0.337	0.017
3823	0.009	0.299	0.005
5870	0.084	0.343	0.039
147700	0.149	0.399	0.122
1780	0.205	0.431	0.143
2804	0.112	0.368	0.067
51447	0.065	0.323	0.047
1272	0.009	0.227	0
116985	0.014	0.28	0.009
3831	0.153	0.4	0.123
3834	0.074	0.326	0.049
25852	0.033	0.272	0.003
64761	0.005	0.227	0
11014	0.172	0.372	0.096
83719	0.005	0.183	0
11015	0.172	0.372	0.096
23321	0.102	0.363	0.094
79132	0.023	0.284	0.009
23325	0.014	0.309	0.009
286	0.13	0.4	0.071
287	0.126	0.399	0.07
1314	0.186	0.387	0.1
54566	0.005	0.205	0
55080	0.014	0.318	0.008
4905	0.153	0.374	0.048
10540	0.209	0.432	0.143
220972	0.005	0.317	0.006
388403	0.014	0.215	0
85300	0.005	0.286	0.004
821	0.088	0.381	0.075
6452	0.023	0.329	0.016
203062	0.014	0.265	0.001
8506	0.019	0.229	0.001
829	0.228	0.444	0.145
830	0.219	0.442	0.144
832	0.214	0.433	0.143
11074	0.102	0.363	0.094
3394	0.121	0.355	0.098
25924	0.009	0.206	0
57162	0.005	0.234	0
51019	0.014	0.309	0.009
26958	0.172	0.392	0.101
2897	0.019	0.249	0
2898	0.019	0.249	0
2900	0.019	0.249	0
2901	0.019	0.249	0
51542	0.037	0.288	0.008
2908	0.06	0.361	0.044
89953	0.149	0.399	0.122
80742	0.005	0.267	0.003
80232	0.023	0.224	0
5996	0.014	0.319	0.012
7535	0.074	0.346	0.051
10107	0.107	0.364	0.094
3965	0.005	0.223	0
7039	0.07	0.341	0.019
23423	0.167	0.383	0.099
81793	0.023	0.286	0.004
84868	0.014	0.287	0.002
79748	0.07	0.341	0.019
392	0.019	0.282	0.009
10121	0.209	0.432	0.143
395	0.014	0.28	0.009
8079	0.014	0.288	0.004
919	0.051	0.342	0.029
22937	0.009	0.295	0.005
10139	0.042	0.288	0.008
9117	0.093	0.351	0.02
9632	0.172	0.417	0.095
29091	0.014	0.251	0
9641	0.033	0.284	0.008
4012	0.042	0.328	0.024
942	0.051	0.351	0.026
51128	0.126	0.397	0.079
7096	0.037	0.308	0.006
50619	0.009	0.281	0.005
960	0.149	0.402	0.117
7109	0.065	0.337	0.017
10186	0.005	0.268	0.002
972	0.084	0.379	0.066
4048	0.014	0.267	0.003
9173	0.005	0.234	0
55254	0.009	0.247	0.001
55765	0.009	0.302	0.009
57822	0.005	0.273	0.003
3554	0.028	0.24	0.001
8675	0.074	0.302	0.012
1508	0.037	0.323	0.042
3557	0.014	0.235	0
1510	0.037	0.323	0.042
1512	0.051	0.337	0.044
220136	0.005	0.196	0
55275	0.042	0.29	0.008
