node	DC	CC	EC
57862	0.006	0.147	0
526	0.024	0.193	0.01
3087	0.024	0.225	0.008
529	0.047	0.238	0.046
18	0.035	0.243	0.02
534	0.029	0.194	0.01
1565	0.018	0.18	0
32	0.024	0.251	0.023
51744	0.012	0.173	0.005
4129	0.035	0.214	0.003
35	0.018	0.24	0.008
1571	0.018	0.202	0.001
125988	0.029	0.21	0.04
5162	0.094	0.331	0.203
43	0.012	0.194	0
161835	0.006	0.162	0
50	0.065	0.309	0.162
51	0.071	0.249	0.009
2098	0.018	0.219	0.006
55862	0.035	0.243	0.02
10295	0.012	0.241	0.022
2108	0.035	0.281	0.067
116285	0.012	0.2	0.001
56901	0.006	0.196	0.02
5191	0.029	0.189	0.001
5195	0.071	0.23	0.008
64077	0.012	0.193	0.008
221264	0.035	0.247	0.014
64080	0.024	0.237	0.013
594	0.047	0.273	0.065
2643	0.047	0.258	0.014
5209	0.018	0.225	0.005
5210	0.018	0.225	0.005
5213	0.053	0.281	0.035
55902	0.065	0.296	0.063
1120	0.024	0.194	0.001
4705	0.094	0.293	0.342
8802	0.047	0.293	0.157
51300	0.071	0.237	0.241
29796	0.059	0.243	0.198
5226	0.047	0.249	0.02
2673	0.024	0.197	0.002
4722	0.082	0.262	0.3
26227	0.006	0.22	0.003
4724	0.076	0.281	0.299
8309	0.059	0.236	0.008
5236	0.065	0.262	0.033
54901	0.035	0.188	0.002
4728	0.071	0.248	0.281
414328	0.006	0.199	0.002
10873	0.035	0.292	0.052
4731	0.053	0.235	0.228
127	0.024	0.211	0.003
23178	0.012	0.169	0
54927	0.035	0.253	0.061
4248	0.012	0.141	0
4249	0.012	0.141	0
79001	0.006	0.153	0
54940	0.006	0.192	0.024
159	0.018	0.211	0.002
56996	0.006	0.145	0
23205	0.029	0.213	0.003
10409	0.006	0.234	0.026
686	0.012	0.253	0.014
8880	0.006	0.172	0.002
126129	0.024	0.219	0.004
1719	0.041	0.244	0.008
5303	0.006	0.187	0
4795	0.006	0.162	0.001
5313	0.082	0.307	0.073
5825	0.029	0.199	0.002
6342	0.071	0.236	0.008
221895	0.024	0.159	0
9415	0.018	0.207	0.001
1738	0.082	0.315	0.159
2762	0.018	0.195	0.001
7371	0.012	0.203	0.001
25813	0.041	0.22	0.097
10455	0.018	0.205	0.002
217	0.035	0.243	0.011
9945	0.024	0.197	0.002
79068	0.018	0.205	0.007
91869	0.012	0.163	0
223	0.035	0.243	0.011
3295	0.071	0.238	0.008
10979	0.012	0.22	0.004
29925	0.024	0.195	0.002
6888	0.071	0.298	0.07
4843	0.047	0.228	0.007
23787	0.006	0.192	0.024
10989	0.035	0.208	0.023
10478	0.029	0.195	0.002
23788	0.018	0.243	0.057
4337	0.029	0.246	0.013
6390	0.065	0.288	0.224
5372	0.018	0.193	0.002
5373	0.024	0.194	0.002
4351	0.076	0.238	0.013
29958	0.012	0.224	0.003
23305	0.041	0.253	0.01
9997	0.024	0.229	0.003
1806	0.029	0.207	0.001
275	0.035	0.26	0.021
8470	0.006	0.206	0.001
790	0.018	0.184	0
10007	0.018	0.194	0.002
2328	0.012	0.19	0
79133	0.053	0.234	0.212
57118	0.024	0.159	0
8992	0.024	0.193	0.01
92960	0.012	0.164	0
5409	0.012	0.191	0.001
91942	0.047	0.233	0.21
25902	0.024	0.231	0.006
79154	0.012	0.193	0.001
84284	0.024	0.241	0.011
6470	0.053	0.282	0.029
1352	0.012	0.243	0.023
84300	0.006	0.164	0.002
84303	0.035	0.208	0.027
8528	0.053	0.273	0.015
64850	0.006	0.163	0
3416	0.047	0.228	0.007
8540	0.029	0.194	0.002
1375	0.018	0.212	0.003
84833	0.024	0.24	0.095
1890	0.018	0.211	0.001
3945	0.059	0.303	0.074
3948	0.041	0.285	0.062
7024	0.012	0.172	0
8050	0.024	0.263	0.043
123263	0.018	0.228	0.006
22925	0.006	0.209	0.004
7054	0.029	0.225	0.003
79759	0.006	0.14	0
170384	0.006	0.141	0
63892	0.041	0.186	0.001
54677	0.047	0.228	0.007
51606	0.029	0.237	0.034
22934	0.029	0.238	0.015
201626	0.012	0.172	0
8604	0.012	0.246	0.043
51103	0.047	0.233	0.21
55711	0.012	0.163	0
79780	0.006	0.157	0
79783	0.006	0.22	0.007
11180	0.006	0.157	0
11181	0.006	0.208	0.003
4524	0.029	0.236	0.007
11185	0.006	0.177	0
55217	0.006	0.195	0.001
10165	0.012	0.246	0.043
953	0.053	0.253	0.014
27068	0.024	0.236	0.032
7103	0.024	0.159	0
51142	0.018	0.249	0.045
399818	0.006	0.19	0.021
113612	0.006	0.168	0
55245	0.012	0.196	0.02
59342	0.006	0.191	0.003
10201	0.035	0.247	0.014
54751	0.006	0.181	0
2530	0.024	0.164	0
60386	0.012	0.172	0
5091	0.076	0.327	0.091
2023	0.041	0.294	0.064
5095	0.047	0.291	0.048
5096	0.041	0.29	0.046
55276	0.035	0.244	0.016
498	0.118	0.304	0.266
30833	0.018	0.215	0.002
