node	DC	CC	EC
55304	0.017	0.297	0.007
654346	0.011	0.243	0
79895	0.17	0.419	0.186
131096	0.017	0.307	0.007
171546	0.017	0.297	0.007
4126	0.04	0.331	0.017
1589	0.017	0.285	0.003
55876	0.011	0.297	0.006
54854	0.006	0.165	0
4179	0.017	0.279	0.003
3673	0.114	0.399	0.035
84570	0.085	0.29	0.002
3163	0.148	0.414	0.171
3676	0.085	0.395	0.037
3678	0.108	0.4	0.043
9312	0.017	0.307	0.007
3680	0.091	0.383	0.033
3683	0.222	0.448	0.187
3684	0.278	0.461	0.203
102	0.273	0.474	0.211
3687	0.188	0.426	0.131
2153	0.102	0.38	0.038
3691	0.091	0.395	0.033
3693	0.102	0.395	0.046
2161	0.017	0.269	0.001
64114	0.148	0.414	0.171
1139	0.017	0.298	0.007
1140	0.017	0.298	0.007
1141	0.017	0.298	0.007
1143	0.188	0.422	0.187
27255	0.006	0.252	0.001
7292	0.017	0.268	0.002
26251	0.017	0.307	0.007
4237	0.034	0.289	0.002
4238	0.017	0.225	0
2200	0.119	0.392	0.039
9882	0.006	0.281	0.004
8859	0.023	0.288	0.003
2204	0.17	0.419	0.186
9374	0.017	0.284	0.001
4257	0.04	0.331	0.017
5795	0.148	0.414	0.171
3748	0.017	0.307	0.007
3751	0.028	0.309	0.007
652968	0.006	0.169	0
81578	0.091	0.306	0.003
3756	0.017	0.307	0.007
84141	0.102	0.38	0.038
84146	0.006	0.224	0
54972	0.102	0.38	0.038
199	0.011	0.317	0.008
7881	0.062	0.245	0.003
717	0.023	0.28	0.003
3790	0.017	0.307	0.007
7373	0.085	0.29	0.002
720	0.131	0.385	0.038
721	0.131	0.385	0.038
124626	0.017	0.297	0.007
5328	0.182	0.424	0.189
23250	0.17	0.419	0.186
81619	0.17	0.419	0.186
84695	0.023	0.238	0
10970	0.278	0.478	0.198
29920	0.011	0.225	0
5351	0.08	0.289	0.002
200942	0.017	0.238	0
10491	0.074	0.289	0.002
387837	0.006	0.296	0.007
1284	0.131	0.362	0.016
1287	0.114	0.355	0.011
9991	0.006	0.28	0.001
4360	0.023	0.322	0.013
2317	0.023	0.292	0.005
8974	0.08	0.289	0.002
1295	0.085	0.29	0.002
5906	0.176	0.42	0.173
10516	0.023	0.23	0
5909	0.006	0.296	0.006
1302	0.102	0.309	0.003
8987	0.097	0.389	0.108
57628	0.006	0.237	0
28956	0.176	0.423	0.187
1310	0.091	0.317	0.004
3371	0.131	0.403	0.047
340267	0.085	0.29	0.002
165679	0.017	0.297	0.007
6447	0.011	0.277	0.001
85301	0.102	0.319	0.004
3381	0.017	0.295	0.003
79158	0.006	0.252	0.001
30008	0.017	0.225	0
10043	0.182	0.425	0.175
54587	0.102	0.38	0.038
57153	0.148	0.414	0.171
8514	0.233	0.438	0.189
27133	0.017	0.307	0.007
8516	0.102	0.396	0.034
11076	0.006	0.212	0
327	0.006	0.241	0
3912	0.125	0.397	0.043
3915	0.148	0.416	0.047
3916	0.051	0.337	0.023
334	0.102	0.38	0.038
1363	0.011	0.277	0.001
10584	0.017	0.279	0.003
3929	0.006	0.316	0.007
23385	0.057	0.336	0.024
64856	0.114	0.397	0.038
6494	0.006	0.296	0.006
51552	0.102	0.389	0.108
170850	0.028	0.31	0.007
150372	0.04	0.331	0.017
79726	0.011	0.254	0.001
6515	0.17	0.419	0.186
23415	0.017	0.307	0.007
23416	0.017	0.307	0.007
339834	0.011	0.238	0
91522	0.091	0.306	0.003
64386	0.148	0.414	0.171
4485	0.017	0.318	0.008
4486	0.011	0.317	0.008
10636	0.017	0.322	0.02
6545	0.006	0.294	0.006
7059	0.028	0.33	0.017
94103	0.182	0.42	0.172
921	0.034	0.322	0.014
923	0.006	0.244	0
1435	0.114	0.396	0.049
51101	0.011	0.203	0
338339	0.176	0.42	0.186
55715	0.006	0.296	0.006
5033	0.08	0.289	0.002
121260	0.153	0.415	0.171
941	0.091	0.361	0.031
55214	0.074	0.289	0.002
943	0.006	0.244	0
7087	0.006	0.31	0.007
29106	0.114	0.382	0.038
948	0.159	0.418	0.173
7092	0.017	0.256	0
7093	0.017	0.256	0
9145	0.04	0.331	0.017
80317	0.011	0.285	0.001
958	0.045	0.326	0.015
961	0.188	0.444	0.188
84418	0.097	0.389	0.108
965	0.017	0.318	0.008
63943	0.006	0.182	0
970	0.011	0.246	0.001
80333	0.006	0.237	0
284110	0.011	0.297	0.006
975	0.006	0.283	0.001
1493	0.074	0.358	0.03
387032	0.011	0.223	0
473	0.006	0.285	0.001
80864	0.011	0.222	0
4065	0.023	0.322	0.014
54757	0.108	0.381	0.038
7143	0.011	0.285	0.002
1000	0.148	0.389	0.038
1001	0.034	0.283	0.002
222698	0.006	0.182	0
5611	0.102	0.38	0.038
1004	0.034	0.283	0.002
9196	0.062	0.245	0.003
63979	0.006	0.193	0
7148	0.023	0.292	0.003
1008	0.034	0.283	0.002
1009	0.034	0.283	0.002
84467	0.017	0.316	0.003
1012	0.034	0.283	0.002
1013	0.034	0.283	0.002
8694	0.148	0.414	0.171
116729	0.017	0.197	0
11259	0.006	0.165	0
729085	0.006	0.276	0.001
1535	0.17	0.419	0.186
