node	DC	CC	EC
29952	0.167	0.294	0.319
9217	0.056	0.223	0.004
3074	0.167	0.31	0.319
4353	0.125	0.288	0.309
4482	0.056	0.241	0.008
57605	0.014	0.183	0
9094	0.056	0.191	0.001
29953	0.014	0.172	0
7296	0.111	0.301	0.054
253827	0.014	0.195	0.001
83595	0.014	0.195	0.001
1803	0.042	0.231	0.036
84747	0.014	0.161	0
25870	0.014	0.145	0
2191	0.014	0.228	0.035
10003	0.014	0.188	0.004
6419	0.014	0.145	0
2583	0.028	0.254	0.035
284439	0.042	0.175	0
394263	0.111	0.182	0.001
84890	0.014	0.161	0
5019	0.056	0.279	0.037
84896	0.014	0.194	0.001
4642	0.028	0.162	0
421	0.028	0.202	0.002
2346	0.014	0.188	0.004
9772	0.028	0.15	0
6448	0.042	0.202	0.004
285362	0.042	0.17	0.001
51380	0.028	0.192	0.001
10678	0.069	0.156	0.001
83642	0.069	0.252	0.015
8507	0.014	0.238	0.035
8635	0.125	0.288	0.309
2876	0.083	0.243	0.016
151742	0.014	0.183	0
2879	0.111	0.298	0.053
114880	0.014	0.183	0
65985	0.042	0.228	0.005
4669	0.028	0.2	0.004
54847	0.014	0.161	0
79939	0.014	0.149	0
56898	0.028	0.224	0.005
9158	0.014	0.13	0
26056	0.014	0.123	0
94025	0.111	0.182	0.001
54858	0.042	0.207	0.002
56267	0.056	0.239	0.008
201294	0.125	0.288	0.309
387921	0.139	0.289	0.312
56913	0.083	0.181	0.001
132949	0.014	0.163	0
2517	0.125	0.288	0.309
23254	0.014	0.168	0
84440	0.028	0.14	0
388697	0.125	0.288	0.309
11226	0.083	0.214	0.005
10587	0.083	0.25	0.016
2524	0.014	0.135	0
253143	0.014	0.225	0.034
51166	0.028	0.195	0.001
54878	0.014	0.228	0.035
25824	0.056	0.281	0.049
3425	0.042	0.246	0.036
4582	0.111	0.182	0.001
11240	0.125	0.288	0.309
374378	0.069	0.156	0.001
4589	0.111	0.182	0.001
9588	0.181	0.341	0.328
9334	0.056	0.156	0.001
2937	0.056	0.235	0.01
2941	0.042	0.232	0.009
2686	0.056	0.235	0.009
