node	DC	CC	EC
2562	0.016	0.187	0.005
10242	0.01	0.203	0.011
10243	0.031	0.229	0.05
51719	0.021	0.179	0
9228	0.047	0.225	0.189
9229	0.067	0.257	0.245
10768	0.052	0.25	0.016
5649	0.031	0.252	0.042
10777	0.005	0.202	0.003
93210	0.021	0.171	0
8224	0.021	0.18	0.003
8736	0.01	0.184	0.001
4137	0.021	0.241	0.024
124460	0.01	0.133	0
4143	0.01	0.201	0.002
5681	0.005	0.15	0
132660	0.01	0.171	0
7223	0.021	0.243	0.018
7225	0.031	0.253	0.032
10815	0.031	0.214	0.006
1600	0.026	0.238	0.041
64067	0.005	0.181	0.001
29766	0.031	0.202	0.002
29767	0.031	0.202	0.002
23635	0.016	0.175	0
347732	0.036	0.228	0.079
114781	0.01	0.162	0.001
10335	0.026	0.253	0.029
23648	0.016	0.175	0
8291	0.021	0.21	0.008
91750	0.01	0.171	0
58472	0.005	0.158	0
91752	0.005	0.226	0.015
7273	0.036	0.225	0.008
6262	0.052	0.278	0.065
253559	0.005	0.187	0.01
6263	0.026	0.261	0.034
3708	0.078	0.296	0.087
57468	0.005	0.141	0
3709	0.041	0.256	0.03
3710	0.062	0.288	0.047
6786	0.036	0.258	0.037
6799	0.005	0.167	0
114327	0.005	0.192	0.011
57497	0.01	0.228	0.036
9369	0.067	0.236	0.225
5789	0.041	0.193	0.006
57502	0.067	0.244	0.226
5792	0.026	0.18	0.002
58529	0.021	0.228	0.002
9378	0.073	0.237	0.227
6817	0.01	0.201	0.001
4773	0.026	0.222	0.01
6821	0.01	0.187	0.005
58538	0.005	0.204	0.003
5802	0.026	0.18	0.002
145581	0.005	0.229	0.014
92335	0.016	0.175	0
54965	0.005	0.128	0
84152	0.021	0.253	0.029
84665	0.01	0.17	0
5816	0.031	0.264	0.009
3778	0.036	0.25	0.055
10948	0.01	0.146	0
5318	0.005	0.218	0.006
6855	0.026	0.251	0.062
4296	0.021	0.205	0.008
57030	0.052	0.261	0.042
1740	0.073	0.257	0.255
8911	0.016	0.245	0.024
121551	0.005	0.14	0
8913	0.041	0.248	0.069
27347	0.021	0.163	0
55509	0.01	0.182	0.001
25814	0.01	0.193	0.008
8927	0.026	0.229	0.033
4842	0.073	0.305	0.114
9454	0.052	0.258	0.196
2286	0.01	0.184	0.001
757	0.005	0.106	0
84725	0.016	0.153	0
9465	0.026	0.229	0.017
116986	0.005	0.219	0.015
9472	0.016	0.221	0.007
50944	0.078	0.262	0.248
55553	0.005	0.175	0
773	0.052	0.238	0.084
774	0.062	0.237	0.115
775	0.114	0.291	0.17
9990	0.005	0.141	0
777	0.067	0.238	0.116
778	0.062	0.252	0.114
779	0.083	0.28	0.142
493829	0.01	0.209	0.008
781	0.052	0.23	0.1
782	0.052	0.23	0.102
783	0.057	0.231	0.109
1811	0.005	0.148	0
10231	0.01	0.215	0.01
57622	0.021	0.237	0.067
9497	0.005	0.2	0.001
10529	0.005	0.145	0
93986	0.005	0.182	0.001
1827	0.016	0.221	0.01
8495	0.016	0.162	0.001
8496	0.021	0.163	0.001
815	0.073	0.297	0.154
306	0.01	0.174	0.001
818	0.036	0.267	0.099
8497	0.041	0.214	0.007
8499	0.041	0.214	0.007
311	0.016	0.175	0.001
84281	0.005	0.158	0
30010	0.005	0.191	0.021
1859	0.026	0.206	0.004
57669	0.031	0.229	0.111
2890	0.088	0.287	0.215
844	0.01	0.222	0.002
2892	0.047	0.263	0.126
64844	0.005	0.209	0.001
6992	0.01	0.215	0.01
64852	0.01	0.118	0
23382	0.016	0.204	0.002
2903	0.083	0.288	0.185
2904	0.093	0.294	0.209
55129	0.005	0.162	0.001
22871	0.078	0.26	0.261
859	0.062	0.262	0.082
23387	0.01	0.152	0
8541	0.047	0.217	0.01
57698	0.005	0.2	0.001
26468	0.031	0.212	0.001
6506	0.026	0.251	0.06
8557	0.041	0.204	0.002
341359	0.01	0.192	0.041
89970	0.021	0.134	0
445815	0.005	0.186	0.002
5496	0.01	0.201	0.001
147323	0.005	0.128	0
64895	0.005	0.106	0
23426	0.01	0.224	0.031
11141	0.016	0.214	0.041
221061	0.005	0.208	0.023
27020	0.01	0.158	0.001
140685	0.005	0.154	0
11152	0.005	0.175	0
6546	0.036	0.273	0.041
51604	0.005	0.146	0
6549	0.005	0.129	0
6550	0.021	0.174	0
389015	0.005	0.129	0
5530	0.062	0.273	0.053
5532	0.067	0.273	0.053
22941	0.052	0.228	0.192
6558	0.016	0.177	0
2982	0.016	0.246	0.025
594855	0.01	0.179	0.001
10665	0.005	0.13	0
151987	0.01	0.215	0.01
56244	0.01	0.149	0
26037	0.016	0.23	0.059
153020	0.005	0.224	0.008
23484	0.01	0.118	0
284098	0.01	0.146	0
152519	0.005	0.167	0
51150	0.005	0.209	0.001
11215	0.005	0.186	0.002
11216	0.01	0.187	0.002
85461	0.016	0.25	0.056
84952	0.01	0.168	0
85464	0.005	0.215	0.005
5592	0.062	0.253	0.068
2011	0.026	0.207	0.003
5593	0.067	0.289	0.091
477	0.031	0.229	0.022
9181	0.021	0.21	0.009
8671	0.026	0.208	0.002
170463	0.016	0.175	0
481	0.021	0.223	0.01
483	0.016	0.218	0.006
9699	0.005	0.187	0.003
7140	0.036	0.234	0.003
487	0.041	0.281	0.017
488	0.047	0.271	0.03
5607	0.01	0.162	0.001
491	0.016	0.228	0.018
2030	0.005	0.201	0.005
65010	0.01	0.173	0
2035	0.036	0.23	0.112
2036	0.062	0.281	0.169
55799	0.047	0.253	0.101
2555	0.016	0.187	0.005
11261	0.016	0.148	0
4607	0.031	0.202	0.002
